"gene" "baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Ddx3x"	28966.2705562405	-0.227193877666584	0.131190055507251	-1.73179191660627	0.0833106179027336	0.258199720313122
"Il12rb1"	30.7881811079556	-0.375404315721148	0.26074129539872	-1.43975780724372	0.149935932175773	NA
"Slc5a5"	49.7607981284964	-0.906291879985835	0.279371209373967	-3.24404179663578	0.00117846452261685	0.0164391846326116
"Kcnn3"	136.737972139195	0.0927590463105731	0.33022849241443	0.280893528091338	0.778792064731493	0.897148616672968
"Usp32"	4087.87319450931	0.154697336649145	0.10188238533306	1.51839138967379	0.128915760994344	0.334408031900347
"Car4"	6182.01993186548	-0.310949469475583	0.379003301442536	-0.820440002216521	0.411965319165775	0.653329454181069
"Txnrd3"	721.774398616506	-0.196149901218635	0.113213528073298	-1.73256592702986	0.0831728497624359	0.25792580116557
"Fasl"	8.83569458526754	0.0230712668443901	0.656247526223473	0.0351563486679469	0.971955069412718	NA
"Zfp512b"	2164.11623246514	0.0189067793488886	0.123039025910879	0.153664897855932	0.877873963441824	0.948204728836999
"Dnajc5"	10324.7148709712	0.0115773770825591	0.100742383912874	0.11492061864023	0.90850804205757	0.960068110793344
"Tpd52l2"	2753.6372381236	-0.133123893642533	0.0776490684476098	-1.7144300157619	0.0864497798748339	0.264243922749768
"Fmr1"	4589.36438646031	-0.0109480625612824	0.108948310938348	-0.100488593783503	0.91995643784334	0.965962926662981
"Bcl11a"	1697.44450182333	-0.0131578562609679	0.120384454575412	-0.109298632513432	0.912965631194869	0.962412943508439
"Il4"	15.965063931154	0.0797298039722436	0.325966384175413	0.244595172517355	0.806769902317444	NA
"Pxmp4"	3661.00601565372	-0.0558339098573581	0.0964249501675671	-0.579040069611963	0.562562136485726	0.76955810472046
"Dlg3"	3825.46944856639	-0.0612040470758189	0.104396619005937	-0.586264647826747	0.557697683945467	0.76583772246557
"Gnb1l"	294.504636074057	-0.0844464742615887	0.135461281180173	-0.623399347222096	0.533022126841633	0.750155897175004
"Mmp11"	112.01869250009	-0.0909758893041179	0.233780948302877	-0.389150142321491	0.697165082831608	0.851235223506107
"Smarcb1"	4219.66658547571	-0.144450696787525	0.0682106380139495	-2.11771508071781	0.0341992048867147	0.147207967604528
"Vpreb3"	7.06321702435223	1.08820711520864	0.515012484311831	2.11297230330779	0.0346031385363437	NA
"Hip1r"	10696.0973539361	-0.00511000813942901	0.100373909831932	-0.0509097249273771	0.959397456188967	0.983833543108859
"Nsun5"	1183.73890722954	-0.13943643276665	0.124001243875679	-1.12447608111452	0.260811112056551	0.509045075184606
"Top1mt"	645.958693278839	-0.332178422859796	0.11023501269253	-3.01336585125013	0.00258367239778299	0.0271762458599257
"Hoxa10"	1342.3395551405	-0.539652622436904	0.534752197958607	-1.00916391647759	0.312896028623908	0.56136539271174
"Hoxa4"	188.576952917829	-0.0800338263433194	0.185369253549391	-0.431753512574805	0.665920569869638	0.834685108851237
"Gm38393"	636.776036141876	-0.0113128453548323	0.147057948213942	-0.0769278062983322	0.93868097685965	0.973870445064071
"Mmp14"	4259.66155798037	-0.220299093647798	0.126797554085776	-1.73740806939202	0.0823151679285298	0.256372138753628
"Slc7a7"	2993.10047475317	0.112104936136184	0.0956550295663248	1.17197116183476	0.241208634458759	0.487674654624067
"Oxa1l"	4559.08207096128	-0.0578284263383195	0.0805272419706403	-0.718122525038214	0.47268174260489	0.70295608765174
"Heatr6"	2379.60588322865	0.00260539990921753	0.0667930738480694	0.0390070370940541	0.968884778095507	0.98815337031647
"Wfdc18"	278.629100803463	-1.90240757989507	0.314849710078284	-6.04227197611858	1.51959024491085e-09	1.01070986369511e-06
"Ilf2"	4359.70107098454	-0.210928275702148	0.0660564603521392	-3.19315135230852	0.00140729163936508	0.0182104633302432
"Chtop"	6722.23634026524	-0.141453311951273	0.056370278716183	-2.5093598111067	0.0120950213904126	0.0763248636355907
"Snapin"	1437.68901851869	-0.0658193513187609	0.0780006282015757	-0.843831041317579	0.398763826853485	0.642207077721021
"S100a4"	19.1747998395267	-0.560851128247135	0.343054039526925	-1.63487691041491	0.102074853678566	NA
"S100a3"	47.0443707264812	0.350955254115414	0.219693824906209	1.59747436809042	0.110160006796943	0.305133768487198
"S100a6"	25392.8492358469	0.0568065669835758	0.17703595187589	0.320875880755563	0.748304452591809	0.881156181410424
"Scn4a"	21.6358568614961	-0.83770177022106	0.372196829795664	-2.2506956082376	0.0244048231243301	NA
"Icam2"	24.8950685228342	-0.611298445807816	0.368557658053221	-1.65862364395517	0.097191654306336	NA
