"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Ilf2"	5400.05750442992	-0.426553345766629	0.160775026742774	-2.65310698065737	0.0079754588792438	0.0748678010292564
"Chtop"	8046.56687717533	-0.1595819835398	0.135575723872603	-1.17706901340063	0.239167961715582	0.434194607539813
"Snapin"	1488.01309296027	-0.0924692617283812	0.123540136031344	-0.74849570915901	0.454161212247023	0.637102633432502
"S100a4"	56.6978880569088	-0.763136127293186	0.333588195325297	-2.28765926968434	0.0221573713918124	0.122715503598971
"S100a3"	74.0501249398707	-0.423817071997243	0.291458671576853	-1.45412407770989	0.145911909222765	0.331562102002448
"S100a6"	46466.7428111826	-0.743733354846252	0.194991528910548	-3.81418289810651	0.000136634252426389	0.0106248518001655
"Scn4a"	31.6104047424792	-0.286240095770475	0.434377613906583	-0.658966039239845	0.509917576838901	0.682221741375645
"Icam2"	22.1056965538933	0.111176924343395	0.417404828425395	0.26635275102781	0.789967550399633	NA
"Mapk7"	1350.64330088746	-0.115687488982579	0.192571459525689	-0.600750958981784	0.54800587226434	0.710814138770705
"Epn2"	1763.28054153309	0.0253829826049497	0.13441951840458	0.188834054058662	0.85022288069485	0.918036309274317
"B9d1"	192.076484627528	-0.391662229866633	0.176906363237376	-2.21395218746933	0.0268320681570222	0.135221748850894
"Sec24b"	3704.76599519473	0.112464577820919	0.146870954435387	0.765737366201947	0.443832588845074	0.628319202439261
"N4bp3"	1078.66409649456	-0.426901715578605	0.241463710874652	-1.76797463284334	0.0770651445546359	0.238119847941056
"Rmnd5b"	2043.79620455905	-0.240579612933691	0.128742210088775	-1.8686925816156	0.0616655967056736	0.20897785550256
"Nhp2"	2156.43058994381	-0.701325679327017	0.261536908990424	-2.68155528041626	0.00732808058202521	0.0723160727617497
"Vps9d1"	1640.04320979273	0.0788519939902984	0.166335369261739	0.474054281661647	0.6354611993052	0.776744791022139
"Zfp276"	3028.20415160793	0.0499345254160607	0.183352419429853	0.272341786224232	0.78535922924579	0.880481645309136
"C1ql4"	6.35279234935957	-0.0569992916064149	0.655468699005322	-0.086959593483124	0.930703630120291	NA
"Mfsd10"	2105.14596879518	-0.1696455999257	0.212905345909874	-0.796812307369273	0.425560046225668	0.611903520144102
"Luzp1"	14547.8145652657	-0.0049208868867194	0.15659741462024	-0.031423806699829	0.974931555523196	0.986637727350362
"Slc13a2"	4040.99455634524	-0.146087545680401	0.321997067372356	-0.453692162082537	0.650050409058009	0.787425085342339
"Kctd10"	11200.0914640607	-0.373504409566074	0.157262429916305	-2.37503903357498	0.0175470944729488	0.109358014692046
"Poldip2"	4291.02002571884	-0.251682894489255	0.115190788411587	-2.18492205809001	0.0288945618810745	0.140114275773312
"Sebox"	24.2973545631614	0.0505627602880274	0.334466949070695	0.151174160641326	0.879838332836746	NA
"Ift20"	1902.30921135108	-0.306055893233078	0.147797839759619	-2.07077379297866	0.0383799404115441	0.162949560089642
"Col6a1"	1400.24343025634	0.814063551196086	0.502132966149962	1.62121112548696	0.104972367559502	0.277722295966235
"Pcbp3"	39.3920114849839	0.574193673436107	0.512543497434298	1.1202828175763	0.262593261773304	0.459704642327608
"Lgals9"	9383.32640503506	-0.107779265071087	0.500991729738454	-0.21513182488532	0.829664542094437	0.90627346240963
"Araf"	7351.09327261393	0.112701100851535	0.0797771903418429	1.41269829594919	0.157744452842094	0.345620318493853
"Cfp"	220.295691464048	-0.0297643065057708	0.196227933911476	-0.151682311037317	0.87943750947318	0.932997156221454
"Timp1"	32.3381658216616	-1.43641169249866	0.484050847393258	-2.96748099963901	0.00300250839387209	0.0469495492784546
"Uxt"	758.611123258223	-0.483656319537027	0.137621457544123	-3.51439614263613	0.000440754984336632	0.0184364550410547
"Cnnm3"	2186.42290923042	0.197569499896768	0.146073850515183	1.35253160781322	0.176205314460126	0.367193667736015
"Lman2l"	1427.65970142129	0.261021094765632	0.137331255247189	1.90066779988144	0.0573455387457904	0.202053243889258
"Mcm3ap"	4487.1619997603	0.0972407878133966	0.116206593469404	0.836792344652965	0.402709301212573	0.593394015597202
"Pcnt"	8110.77092813873	0.177577635011859	0.166861577289971	1.06422124191758	0.287228486366059	0.485739161455454
"Ftcd"	49.0019639772001	-0.628492068328323	0.388007397228269	-1.61979403696413	0.105276527652737	0.278143357341475
